ons_id,constituency_name,country_name,MP Name,mp_firstname,mp_surname,mp_gender,result,winning_party,majority
E14000691,Enfield North,England,Feryal Clark,Feryal,Clark,Female,Lab hold,Lab,6492
E14000692,"Enfield, Southgate",England,Bambos Charalambous,Bambos,Charalambous,Male,Lab hold,Lab,4450
E14000693,Epping Forest,England,Eleanor Laing,Eleanor,Laing,Female,Con hold,Con,22173
E14000694,Epsom and Ewell,England,Chris Grayling,Chris,Grayling,Male,Con hold,Con,17873
E14000695,Erewash,England,Maggie Throup,Maggie,Throup,Female,Con hold,Con,10606
E14000696,Erith and Thamesmead,England,Abena Oppong-Asare,Abena,Oppong-Asare,Female,Lab hold,Lab,3758
E14000697,Esher and Walton,England,Dominic Raab,Dominic,Raab,Male,Con hold,Con,2743
E14000698,Exeter,England,Ben Bradshaw,Ben,Bradshaw,Male,Lab hold,Lab,10403
S14000028,Falkirk,Scotland,John McNally,John,McNally,Male,SNP hold,SNP,14948
E14000699,Fareham,England,Suella Braverman,Suella,Braverman,Female,Con hold,Con,26086
E14000700,Faversham and Mid Kent,England,Helen Whately,Helen,Whately,Female,Con hold,Con,21976
E14000701,Feltham and Heston,England,Seema Malhotra,Seema,Malhotra,Female,Lab hold,Lab,7859
N06000007,Fermanagh and South Tyrone,Northern Ireland,Michelle Gildernew,Michelle,Gildernew,Female,SF hold,SF,57
E14000702,Filton and Bradley Stoke,England,Jack Lopresti,Jack,Lopresti,Male,Con hold,Con,5646
E14000703,Finchley and Golders Green,England,Mike Freer,Mike,Freer,Male,Con hold,Con,6562
E14000704,Folkestone and Hythe,England,Damian Collins,Damian,Collins,Male,Con hold,Con,21337
E14000705,Forest of Dean,England,Mark Harper,Mark,Harper,Male,Con hold,Con,15869
N06000008,Foyle,Northern Ireland,Colum Eastwood,Colum,Eastwood,Male,SDLP gain from SF,SDLP,17110
E14000706,Fylde,England,Mark Menzies,Mark,Menzies,Male,Con hold,Con,16611
E14000707,Gainsborough,England,Edward Leigh,Edward,Leigh,Male,Con hold,Con,22967
E14000708,Garston and Halewood,England,Maria Eagle,Maria,Eagle,Female,Lab hold,Lab,31624
E14000709,Gateshead,England,Ian Mearns,Ian,Mearns,Male,Lab hold,Lab,7200
E14000710,Gedling,England,Tom Randall,Tom,Randall,Male,Con gain from Lab,Con,679
E14000711,Gillingham and Rainham,England,Rehman Chishti,Rehman,Chishti,Male,Con hold,Con,15119
S14000029,Glasgow Central,Scotland,Alison Thewliss,Alison,Thewliss,Female,SNP hold,SNP,6474
S14000030,Glasgow East,Scotland,David Linden,David,Linden,Male,SNP hold,SNP,5566
S14000031,Glasgow North,Scotland,Patrick Grady,Patrick,Grady,Male,SNP hold,SNP,5601
S14000032,Glasgow North East,Scotland,Anne McLaughlin,Anne,McLaughlin,Female,SNP gain from Lab Coop,SNP,2548
S14000033,Glasgow North West,Scotland,Carol Monaghan,Carol,Monaghan,Female,SNP hold,SNP,8359
S14000034,Glasgow South,Scotland,Stewart Malcolm McDonald,Stewart Malcolm,McDonald,Male,SNP hold,SNP,9005
S14000035,Glasgow South West,Scotland,Chris Stephens,Chris,Stephens,Male,SNP hold,SNP,4900
S14000036,Glenrothes,Scotland,Peter Grant,Peter,Grant,Male,SNP hold,SNP,11757
E14000712,Gloucester,England,Richard Graham,Richard,Graham,Male,Con hold,Con,10277
S14000037,Gordon,Scotland,Richard Thomson,Richard,Thomson,Male,SNP gain from Con,SNP,819
E14000713,Gosport,England,Caroline Dinenage,Caroline,Dinenage,Female,Con hold,Con,23278
W07000046,Gower,Wales,Tonia Antoniazzi,Tonia,Antoniazzi,Female,Lab hold,Lab,1837
E14000714,Grantham and Stamford,England,Gareth Davies,Gareth,Davies,Male,Con hold,Con,26003
E14000715,Gravesham,England,Adam Holloway,Adam,Holloway,Male,Con hold,Con,15581
E14000716,Great Grimsby,England,Lia Nici,Lia,Nici,Female,Con gain from Lab,Con,7331
E14000717,Great Yarmouth,England,Brandon Lewis,Brandon,Lewis,Male,Con hold,Con,17663
E14000718,Greenwich and Woolwich,England,Matthew Pennycook,Matthew,Pennycook,Male,Lab hold,Lab,18464
E14000719,Guildford,England,Angela Richardson,Angela,Richardson,Female,Con hold,Con,3337
E14000720,Hackney North and Stoke Newington,England,Diane Abbott,Diane,Abbott,Female,Lab hold,Lab,33188
E14000721,Hackney South and Shoreditch,England,Meg Hillier,Meg,Hillier,Female,Lab hold,Lab,33985
E14000722,Halesowen and Rowley Regis,England,James Morris,James,Morris,Male,Con hold,Con,12074
E14000723,Halifax,England,Holly Lynch,Holly,Lynch,Female,Lab hold,Lab,2569
E14000724,Haltemprice and Howden,England,David Davis,David,Davis,Male,Con hold,Con,20329
E14000725,Halton,England,Derek Twigg,Derek,Twigg,Male,Lab hold,Lab,18975
E14000726,Hammersmith,England,Andy Slaughter,Andy,Slaughter,Male,Lab hold,Lab,17847
E14000727,Hampstead and Kilburn,England,Tulip Siddiq,Tulip,Siddiq,Female,Lab hold,Lab,14188
E14000728,Harborough,England,Neil O'Brien,Neil,O'Brien,Male,Con hold,Con,17278
E14000729,Harlow,England,Robert Halfon,Robert,Halfon,Male,Con hold,Con,14063
E14000730,Harrogate and Knaresborough,England,Andrew Jones,Andrew,Jones,Male,Con hold,Con,9675
E14000731,Harrow East,England,Bob Blackman,Bob,Blackman,Male,Con hold,Con,8170
E14000732,Harrow West,England,Gareth Thomas,Gareth,Thomas,Male,Lab hold,Lab,8692
E14000733,Hartlepool,England,Mike Hill,Mike,Hill,Male,Lab hold,Lab,3595
E14000734,Harwich and North Essex,England,Bernard Jenkin,Bernard,Jenkin,Male,Con hold,Con,20182
E14000735,Hastings and Rye,England,Sally-Ann Hart,Sally-Ann,Hart,Female,Con hold,Con,4043
E14000736,Havant,England,Alan Mak,Alan,Mak,Male,Con hold,Con,21792
E14000737,Hayes and Harlington,England,John McDonnell,John,McDonnell,Male,Lab hold,Lab,9261
E14000738,Hazel Grove,England,William Wragg,William,Wragg,Male,Con hold,Con,4423
E14000739,Hemel Hempstead,England,Mike Penning,Mike,Penning,Male,Con hold,Con,14563
E14000740,Hemsworth,England,Jon Trickett,Jon,Trickett,Male,Lab hold,Lab,1180
E14000741,Hendon,England,Matthew Offord,Matthew,Offord,Male,Con hold,Con,4230
E14000742,Henley,England,John Howell,John,Howell,Male,Con hold,Con,14053
E14000743,Hereford and South Herefordshire,England,Jesse Norman,Jesse,Norman,Male,Con hold,Con,19686
E14000744,Hertford and Stortford,England,Julie Marson,Julie,Marson,Female,Con hold,Con,19620
E14000745,Hertsmere,England,Oliver Dowden,Oliver,Dowden,Male,Con hold,Con,21313
E14000746,Hexham,England,Guy Opperman,Guy,Opperman,Male,Con hold,Con,10549
