Constituency,Region,Country,Winner,Majority,Degree,share,%
North Somerset,South West,England,Con,17536,19.5,0.528579486,52.85794859
North Swindon,South West,England,Con,16171,20.2,0.591200218,59.12002177
North Thanet,South East,England,Con,17189,18.4,0.624060775,62.40607746
North Warwickshire,West Midlands,England,Con,17956,23.5,0.658818661,65.8818661
North West Cambridgeshire,East,England,Con,25983,28.3,0.624595168,62.45951684
North West Durham,North East,England,Con,1144,24.3,0.419402891,41.94028911
North West Hampshire,South East,England,Con,26308,19.5,0.621049594,62.10495944
North West Leicestershire,East Midlands,England,Con,20400,32.1,0.628212036,62.82120362
North West Norfolk,East,England,Con,19922,21.5,0.657203553,65.72035535
North Wiltshire,South West,England,Con,17626,22.8,0.591201286,59.12012857
Norwich North,East,England,Con,4738,19.8,0.505498542,50.54985416
Nuneaton,West Midlands,England,Con,13144,19.4,0.606107546,60.61075459
Old Bexley and Sidcup,London,England,Con,18952,22.6,0.645487052,64.54870517
Orpington,London,England,Con,22378,28.4,0.633853985,63.38539849
Pendle,North West,England,Con,6186,20.2,0.541520468,54.15204678
Penistone and Stocksbridge,Yorkshire and The Humber,England,Con,7210,24.5,0.478352181,47.83521809
Penrith and The Border,North West,England,Con,18519,26.9,0.603776347,60.37763466
Peterborough,East,England,Con,2580,17.7,0.467228719,46.72287191
"Plymouth, Moor View",South West,England,Con,12897,15.7,0.606501051,60.65010511
Poole,South West,England,Con,19116,26.3,0.586688074,58.66880736
Portsmouth North,South East,England,Con,15780,20.7,0.613635374,61.36353736
Preseli Pembrokeshire,Wales,Wales,Con,5062,25.4,0.504043,50.40429996
Pudsey,Yorkshire and The Humber,England,Con,3517,32.4,0.487927695,48.79276953
Rayleigh and Wickford,East,England,Con,31000,19.9,0.726106993,72.61069926
Reading West,South East,England,Con,4117,27.7,0.484064931,48.40649309
Redcar,North East,England,Con,3527,16.8,0.460579795,46.05797953
Redditch,West Midlands,England,Con,16036,21.7,0.633285679,63.32856786
Reigate,South East,England,Con,18310,36.1,0.539261795,53.92617955
Ribble Valley,North West,England,Con,18439,30,0.603176326,60.31763259
Richmond (Yorks),Yorkshire and The Humber,England,Con,27210,55.2,0.635894148,63.58941476
Rochester and Strood,South East,England,Con,17072,20.5,0.599911412,59.99114124
Rochford and Southend East,East,England,Con,12286,19.5,0.586591816,58.65918155
Romford,London,England,Con,17893,20.6,0.645635282,64.56352819
Romsey and Southampton North,South East,England,Con,10872,34.1,0.542167737,54.21677369
Rossendale and Darwen,North West,England,Con,9522,28.5,0.564704437,56.47044365
Rother Valley,Yorkshire and The Humber,England,Con,6318,14.3,0.451147891,45.11478911
Rugby,West Midlands,England,Con,13447,26.7,0.575727162,57.57271618
"Ruislip, Northwood and Pinner",London,England,Con,16394,39.3,0.555553455,55.55534553
Runnymede and Weybridge,South East,England,Con,18270,33.8,0.549118955,54.91189551
Rushcliffe,East Midlands,England,Con,7643,39.9,0.475415255,47.54152549
Rutland and Melton,East Midlands,England,Con,26924,29.9,0.62608472,62.60847196
Saffron Walden,East,England,Con,27594,31.3,0.629521605,62.95216054
Salisbury,South West,England,Con,19736,32.2,0.563558533,56.35585334
Scarborough and Whitby,Yorkshire and The Humber,England,Con,10270,23,0.554923176,55.49231759
Scunthorpe,Yorkshire and The Humber,England,Con,6451,16.9,0.537907285,53.79072848
Sedgefield,North East,England,Con,4513,21.2,0.471755762,47.17557619
Selby and Ainsty,Yorkshire and The Humber,England,Con,20137,27.8,0.602555922,60.25559219
Sevenoaks,South East,England,Con,20818,32.5,0.607033519,60.70335191
Sherwood,East Midlands,England,Con,16186,20.5,0.608036578,60.80365782
Shipley,Yorkshire and The Humber,England,Con,6242,31.7,0.508054959,50.80549589
Shrewsbury and Atcham,West Midlands,England,Con,11217,29.3,0.52520105,52.52010497
Sittingbourne and Sheppey,South East,England,Con,24479,16.5,0.675993307,67.59933066
Skipton and Ripon,Yorkshire and The Humber,England,Con,23694,31.5,0.594629112,59.46291125
Sleaford and North Hykeham,East Midlands,England,Con,32565,26.1,0.671379632,67.13796316
Solihull,West Midlands,England,Con,21273,31.1,0.583785053,58.37850535
Somerton and Frome,South West,England,Con,19213,28.9,0.55827786,55.827786
"Southampton, Itchen",South East,England,Con,4498,24.3,0.50509268,50.50926805
South Basildon and East Thurrock,East,England,Con,19922,26,0.66169945,66.16994503
South Cambridgeshire,East,England,Con,2904,24.1,0.463401515,46.3401515
South Derbyshire,East Midlands,England,Con,19335,23.9,0.627601581,62.76015811
South Dorset,South West,England,Con,17153,34.3,0.588037134,58.80371342
South East Cambridgeshire,East,England,Con,11490,17.1,0.499914576,49.99145764
South East Cornwall,South West,England,Con,20971,25.7,0.592805889,59.28058895
Southend West,East,England,Con,14459,27.5,0.592109504,59.21095043
South Holland and The Deepings,East Midlands,England,Con,30838,31.8,0.759226499,75.92264991
South Leicestershire,East Midlands,England,Con,24004,27.5,0.640188623,64.01886234
South Norfolk,East,England,Con,21275,18.6,0.580276551,58.02765508
South Northamptonshire,East Midlands,England,Con,27761,24.5,0.624065882,62.40658815
Southport,North West,England,Con,4147,26,0.475591532,47.55915318
South Ribble,North West,England,Con,11199,24.7,0.558307303,55.83073033
South Staffordshire,West Midlands,England,Con,28250,24.4,0.730326967,73.03269673
South Suffolk,East,England,Con,22897,28.1,0.621997046,62.19970461
South Swindon,South West,England,Con,6625,38.2,0.522918063,52.29180625
South Thanet,South East,England,Con,10587,17.7,0.561245001,56.12450007
South West Bedfordshire,East,England,Con,18583,40.7,0.60427336,60.427336
South West Devon,South West,England,Con,21430,25.1,0.623718778,62.37187775
South West Hertfordshire,East,England,Con,14408,20.7,0.4956121,49.56120998
South West Norfolk,East,England,Con,26195,26.9,0.689911786,68.99117864
South West Surrey,South East,England,Con,8817,23.7,0.533493537,53.34935366
South West Wiltshire,South West,England,Con,21630,27,0.601839876,60.18398761
Spelthorne,South East,England,Con,18393,25.9,0.588588164,58.8588164
Stafford,West Midlands,England,Con,14377,44.5,0.586365325,58.63653248
Staffordshire Moorlands,West Midlands,England,Con,16428,20.6,0.645776067,64.57760674
St Austell and Newquay,South West,England,Con,16526,26.6,0.560689185,56.06891853
Stevenage,East,England,Con,8562,28.4,0.531174632,53.11746325
St Ives,South West,England,Con,4280,33.3,0.493357711,49.33577111
Stockton South,North East,England,Con,5260,27.1,0.506623846,50.66238458
Stoke-On-Trent Central,West Midlands,England,Con,670,17.1,0.453913315,45.39133146
Stoke-On-Trent North,West Midlands,England,Con,6286,13.7,0.522599292,52.25992924
Stoke-On-Trent South,West Midlands,England,Con,11271,15.8,0.621957378,62.1957378
Stone,West Midlands,England,Con,19945,30.4,0.635736212,63.57362117
Stourbridge,West Midlands,England,Con,13571,21.9,0.602639585,60.2639585
Stratford-On-Avon,West Midlands,England,Con,19972,33.6,0.605707746,60.5707746
Stroud,South West,England,Con,3840,32.1,0.479023206,47.90232064
Suffolk Coastal,East,England,Con,20533,26.9,0.565239761,56.52397613
Surrey Heath,South East,England,Con,18349,33.3,0.585774201,58.57742012
Sutton and Cheam,London,England,Con,8351,32.9,0.49983164,49.98316398
Sutton Coldfield,West Midlands,England,Con,19272,34.9,0.603994267,60.39942666
Tamworth,West Midlands,England,Con,19634,19.6,0.66314921,66.31492097
Tatton,North West,England,Con,17387,37.4,0.577470541,57.74705414
Taunton Deane,South West,England,Con,11700,28.1,0.536048829,53.60488287
Telford,West Midlands,England,Con,10941,18.3,0.596520724,59.65207239
Tewkesbury,South West,England,Con,22410,29.7,0.584363755,58.43637553
The Cotswolds,South West,England,Con,20214,34.4,0.580031385,58.00313849
The Wrekin,West Midlands,England,Con,18726,24.7,0.634669667,63.46696666
Thirsk and Malton,Yorkshire and The Humber,England,Con,25154,28,0.629709479,62.9709479
Thornbury and Yate,South West,England,Con,12369,28.1,0.578106158,57.81061578
Thurrock,East,England,Con,11482,18.1,0.585564708,58.55647081
Tiverton and Honiton,South West,England,Con,24239,25.3,0.602100213,60.2100213
Tonbridge and Malling,South East,England,Con,26941,30.4,0.627756434,62.77564339
Torbay,South West,England,Con,17749,20.7,0.592214334,59.22143339
Torridge and West Devon,South West,England,Con,24992,25.3,0.601104972,60.11049724
Totnes,South West,England,Con,12724,28.8,0.531811736,53.18117358
Truro and Falmouth,South West,England,Con,4561,31.7,0.46016219,46.01621896
Tunbridge Wells,South East,England,Con,14645,34.9,0.551125343,55.11253431
Uxbridge and South Ruislip,London,England,Con,7210,27.7,0.52609625,52.609625
Vale Of Clwyd,Wales,Wales,Con,1827,21.8,0.464085132,46.40851315
Vale Of Glamorgan,Wales,Wales,Con,3562,27.2,0.498202784,49.82027843
Wakefield,Yorkshire and The Humber,England,Con,3358,20.5,0.472671952,47.26719524
Walsall North,West Midlands,England,Con,11965,12.3,0.638308349,63.83083488
Wantage,South East,England,Con,12653,34.9,0.507421136,50.74211365
Warrington South,North West,England,Con,2010,31.7,0.455370846,45.53708461
Watford,East,England,Con,4433,31.6,0.455024541,45.50245415
Waveney,East,England,Con,18002,17.1,0.621525944,62.15259442
Wealden,South East,England,Con,25655,30.2,0.608189535,60.81895349
Wellingborough,East Midlands,England,Con,18540,19.7,0.621751777,62.1751777
Wells,South West,England,Con,9991,26.5,0.540922957,54.09229571
Welwyn Hatfield,East,England,Con,10955,29.9,0.5262713,52.62713004
West Aberdeenshire and Kincardine,Scotland,Scotland,Con,843,33.3,0.426506702,42.65067017
West Bromwich East,West Midlands,England,Con,1593,15.3,0.467102154,46.71021543
West Bromwich West,West Midlands,England,Con,3799,13.1,0.505499289,50.5499289
West Dorset,South West,England,Con,14106,30.8,0.551317193,55.13171933
Weston-Super-Mare,South West,England,Con,17121,33.7,0.575089006,57.50890064
West Suffolk,East,England,Con,23194,47.3,0.657931061,65.79310613
West Worcestershire,West Midlands,England,Con,24499,23,0.606796454,60.6796454
Wimbledon,London,England,Con,628,54.4,0.384200502,38.42005016
Winchester,South East,England,Con,985,41,0.482764476,48.27644761
Windsor,South East,England,Con,20079,37.7,0.586065116,58.60651163
Witham,East,England,Con,24082,23.8,0.666261349,66.62613489
Witney,South East,England,Con,15177,32.9,0.552255118,55.22551179
Woking,South East,England,Con,9767,38,0.489385765,48.93857649
Wokingham,South East,England,Con,7383,40.6,0.495733665,49.57336645
Wolverhampton North East,West Midlands,England,Con,4080,15,0.516962749,51.6962749
Wolverhampton South West,West Midlands,England,Con,1661,28.6,0.482886037,48.28860366
Worcester,West Midlands,England,Con,6758,27.7,0.507996385,50.79963849
Workington,North West,England,Con,4176,20.8,0.492511839,49.25118392
Worthing West,South East,England,Con,14823,25.5,0.557659933,55.76599327
Wrexham,Wales,Wales,Con,2131,23.8,0.45326852,45.32685196
Wycombe,South East,England,Con,4214,31.4,0.452297465,45.22974651
Wyre and Preston North,North West,England,Con,16781,32,0.596874764,59.68747638
Wyre Forest,West Midlands,England,Con,21413,22.1,0.651885841,65.18858409
Yeovil,South West,England,Con,16181,23,0.583665204,58.36652042
Ynys Mon,Wales,Wales,Con,1968,26.1,0.354536004,35.45360035
York Outer,Yorkshire and The Humber,England,Con,9985,32.1,0.493685295,49.36852946
