,latitude,longitude,Cluster
1510,14.5534828,-87.6186379,1
1511,14.9360838,-88.864698,1
1512,15.4923508,-88.0900762,1
1513,13.9821294,-86.4996546,1
1514,14.45411,-87.0624261,1
1515,15.341806,-84.6060449,1
1516,14.372734,-88.2461183,1
1517,-15.0892416,-68.5247149,5
1518,14.1887698,-88.556531,1
1519,14.5170347,-89.0561532,1
1520,14.8067406,-85.7666645,1
1521,15.1202795,-88.4016041,1
1522,13.5782936,-87.5791287,1
1523,15.2949679,-87.1422895,1
1524,22.28666,114.15497,2
1525,22.28411,114.22414,2
1526,22.26114,113.94608,2
1527,22.3282,114.19155,2
1528,22.35488,114.08401,2
1529,22.31326,114.22581,2
1530,22.49471,114.13812,2
1531,22.38143,114.27052,2
1532,22.38715,114.19534,2
1533,22.33074,114.1622,2
1534,22.24725,114.15884,2
1535,22.45085,114.16422,2
1536,22.36281,114.12907,2
1537,22.39163,113.9770885,2
1538,22.27968,114.17168,2
1539,22.33353,114.19686,2
1540,22.32138,114.1726,2
1541,22.44559,114.02218,2
1542,46.5661437,19.4272464,4
1543,46.0484585,18.2719173,4
1544,46.6704899,21.0434996,4
1545,46.6735939,21.0877309,4
1546,48.2939401,20.6934112,4
1547,47.497912,19.040235,4
1548,46.416705,20.2566161,4
1549,47.5316049,21.6273124,4
1550,46.9619059,18.9355227,4
1551,47.9025348,20.3772284,4
1552,47.3919718,18.904544,4
1553,47.1217932,18.5294815,4
1554,47.6874569,17.6503974,4
1555,47.6509285,17.2505883,4
1556,47.4688355,21.5453227,4
1557,47.8057617,20.2038559,4
1558,46.4181262,20.3300315,4
1559,47.2555579,20.5232456,4
1560,46.3593606,17.7967639,4
1561,46.8963711,19.6896861,4
1562,48.1034775,20.7784384,4
1563,46.4590218,16.9896796,4
1564,47.9041031,19.0498504,4
1565,47.9495324,21.7244053,4
1566,46.0727345,18.232266,4
1567,47.4480001,19.4618128,4
1568,48.0935237,19.7999813,4
1569,46.554859,17.5866732,4
1570,47.6816619,16.5844795,4
1571,48.0394954,22.00333,4
1572,46.2530102,20.1414253,4
1573,47.1860262,18.4221358,4
1574,46.3474326,18.7062293,4
1575,47.1621355,20.1824712,4
1576,47.2306851,16.6218441,4
1577,47.569246,18.404818,4
1578,46.4762754,18.5570627,4
1579,47.0929111,16.6812183,4
1580,47.1028087,17.9093019,4
1581,47.0930974,17.9100763,4
1582,46.7384404,16.9152252,4
1583,46.8416936,16.8416322,4
1584,38.5656957,-92.1816949,1
1586,43.2994285,-74.2179326,1
1587,41.9133932,-73.0471688,1
1588,63.9154803,-22.3649667,4
1591,65.919615,-21.8811764,4
1592,11.7400867,92.6586401,2
1593,15.9128998,79.7399875,2
1594,28.2179994,94.7277528,2
1595,26.2006043,92.9375739,2
1596,25.0960742,85.3131194,2
1597,30.7333148,76.7794179,0
1598,21.2786567,81.8661442,2
1599,20.3973736,72.8327991,0
1600,28.7040592,77.1024902,0
1601,15.2993265,74.123996,2
1602,22.258652,71.1923805,0
1603,29.0587757,76.085601,0
1604,31.1048294,77.1733901,0
1605,33.277839,75.3412179,0
1606,23.6101808,85.2799354,2
1607,15.3172775,75.7138884,2
1608,10.8505159,76.2710833,2
1609,34.2268475,77.5619419,0
1610,10.3280265,72.7846336,2
1611,22.9734229,78.6568942,2
1612,19.7514798,75.7138884,2
1613,24.6637173,93.9062688,2
1614,25.4670308,91.366216,2
1615,23.164543,92.9375739,2
1616,26.1584354,94.5624426,2
1617,20.9516658,85.0985236,2
1618,11.9415915,79.8083133,2
1620,27.0238036,74.2179326,0
1621,27.5329718,88.5122178,2
1622,11.1271225,78.6568942,2
1623,18.1124372,79.0192997,2
1624,23.9408482,91.9881527,2
1625,26.8467088,80.9461592,2
1626,30.066753,79.0192997,2
1627,22.9867569,87.8549755,2
1628,4.695135,96.7493993,2
1629,-8.3405389,115.0919509,2
1630,-2.7410513,106.4405872,2
1631,-6.4058172,106.0640179,2
1632,-3.7928451,102.2607641,2
1633,-7.150975,110.1402594,2
1634,-1.6814878,113.3823545,2
1635,-1.4300254,121.4456179,2
1636,-7.5360639,112.2384017,2
1637,0.5386586,116.419389,2
1638,-8.6573819,121.0793705,2
1639,0.5435442,123.0567693,2
1640,-6.2087634,106.845599,2
1641,-1.6101229,103.6131203,2
